Fecha,Generación Total [MW],Exportación [MW],Importación [MW],Demanda Total [MW]
1/01/2019 00:00,5708.87385,0,0,5708.87385
1/01/2019 00:15,5554.09774,0,0,5554.09774
1/01/2019 00:30,5507.87057,0,0,5507.87057
1/01/2019 00:45,5470.88846,0,0,5470.88846
1/01/2019 01:00,5434.64513,0,0,5434.64513
1/01/2019 01:15,5393.99744,0,0,5393.99744
1/01/2019 01:30,5354.60283,0,0,5354.60283
1/01/2019 01:45,5317.5786,0,0,5317.5786
1/01/2019 02:00,5259.28723,0,0,5259.28723
1/01/2019 02:15,5147.03489,0,0,5147.03489
1/01/2019 02:30,5095.77471,0,0,5095.77471
1/01/2019 02:45,5052.39187,0,0,5052.39187
1/01/2019 03:00,5022.0655,0,0,5022.0655
1/01/2019 03:15,4991.12562,0,0,4991.12562
1/01/2019 03:30,4959.54409,0,0,4959.54409
1/01/2019 03:45,4927.49136,0,0,4927.49136
1/01/2019 04:00,4895.28901,0,0,4895.28901
1/01/2019 04:15,4860.61794,0,0,4860.61794
1/01/2019 04:30,4842.40414,0,0,4842.40414
1/01/2019 04:45,4838.16832,0,0,4838.16832
1/01/2019 05:00,4829.715,0,0,4829.715
1/01/2019 05:15,4808.83026,0,0,4808.83026
1/01/2019 05:30,4749.83823,0,0,4749.83823
1/01/2019 05:45,4728.97408,0,0,4728.97408
1/01/2019 06:00,4613.3268,0,0,4613.3268
1/01/2019 06:15,4510.5985,0,0,4510.5985
1/01/2019 06:30,4457.05089,0,0,4457.05089
1/01/2019 06:45,4422.76155,0,0,4422.76155
1/01/2019 07:00,4413.47721,0,0,4413.47721
1/01/2019 07:15,4386.86113,0,0,4386.86113
1/01/2019 07:30,4364.21549,0,0,4364.21549
1/01/2019 07:45,4382.22397,0,0,4382.22397
1/01/2019 08:00,4403.89712,0,0,4403.89712
1/01/2019 08:15,4450.54261,0,0,4450.54261
1/01/2019 08:30,4499.26652,0,0,4499.26652
1/01/2019 08:45,4541.33726,0,0,4541.33726
1/01/2019 09:00,4575.58777,0,0,4575.58777
1/01/2019 09:15,4617.13348,0,0,4617.13348
1/01/2019 09:30,4619.53402,0,0,4619.53402
1/01/2019 09:45,4714.1138,0,0,4714.1138
1/01/2019 10:00,4730.0953,0,0,4730.0953
1/01/2019 10:15,4763.76521,0,0,4763.76521
1/01/2019 10:30,4755.06747,0,0,4755.06747
1/01/2019 10:45,4793.26583,0,0,4793.26583
1/01/2019 11:00,4832.79874,0,0,4832.79874
1/01/2019 11:15,4826.61974,0,0,4826.61974
1/01/2019 11:30,4826.28928,0,0,4826.28928
1/01/2019 11:45,4866.34383,0,0,4866.34383
1/01/2019 12:00,4902.55935,0,0,4902.55935
1/01/2019 12:15,4897.69342,0,0,4897.69342
1/01/2019 12:30,4899.54464,0,0,4899.54464
1/01/2019 12:45,4894.13554,0,0,4894.13554
1/01/2019 13:00,4906.59762,0,0,4906.59762
1/01/2019 13:15,4888.82024,0,0,4888.82024
1/01/2019 13:30,4849.59911,0,0,4849.59911
1/01/2019 13:45,4850.24965,0,0,4850.24965
1/01/2019 14:00,4874.92602,0,0,4874.92602
1/01/2019 14:15,4854.46536,0,0,4854.46536
1/01/2019 14:30,4842.82439,0,0,4842.82439
1/01/2019 14:45,4859.12929,0,0,4859.12929
1/01/2019 15:00,4841.90776,0,0,4841.90776
1/01/2019 15:15,4835.71347,0,0,4835.71347
1/01/2019 15:30,4855.38026,0,0,4855.38026
1/01/2019 15:45,4859.20093,0,0,4859.20093
1/01/2019 16:00,4841.11788,0,0,4841.11788
1/01/2019 16:15,4926.91098,0,0,4926.91098
1/01/2019 16:30,4947.04505,0,0,4947.04505
1/01/2019 16:45,4939.07371,0,0,4939.07371
1/01/2019 17:00,4912.42862,0,0,4912.42862
1/01/2019 17:15,4916.21141,0,0,4916.21141
1/01/2019 17:30,4898.44056,0,0,4898.44056
1/01/2019 17:45,4971.719,0,0,4971.719
1/01/2019 18:00,5019.21207,0,0,5019.21207
1/01/2019 18:15,5064.07059,0,0,5064.07059
1/01/2019 18:30,5209.58768,0,0,5209.58768
1/01/2019 18:45,5398.9846,0,0,5398.9846
1/01/2019 19:00,5578.48875,0,0,5578.48875
1/01/2019 19:15,5719.74358,0,0,5719.74358
1/01/2019 19:30,5782.02096,0,0,5782.02096
1/01/2019 19:45,5829.80702,0,0,5829.80702
